CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7000030,H,5099,2025,1,258,3566.12,5,MACHALMA S.L.,B01682665,5273,Murcia,"Poeta Paco Aquino, 23",,MACHALMA S.L.
7080022,D,5099,2025,1,258,-14.88,1,MACHALMA S.L.,B01682665,5273,Murcia,"Poeta Paco Aquino, 23",,MACHALMA S.L.
7000026,H,5099,2025,1,258,1057.32,1,MACHALMA S.L.,B01682665,5273,Murcia,"Poeta Paco Aquino, 23",,MACHALMA S.L.
7000010,H,5099,2025,1,258,19037.95,1,MACHALMA S.L.,B01682665,5273,Murcia,"Poeta Paco Aquino, 23",,MACHALMA S.L.
6000060,D,5099,2025,1,258,13.38,1,MACHALMA S.L.,B01682665,5273,Murcia,"Poeta Paco Aquino, 23",,MACHALMA S.L.
6000015,D,5099,2025,1,258,22716.53,8,MACHALMA S.L.,B01682665,5273,Murcia,"Poeta Paco Aquino, 23",,MACHALMA S.L.
4850002,H,5099,2025,1,258,352.27,1,MACHALMA S.L.,B01682665,5273,Murcia,"Poeta Paco Aquino, 23",,MACHALMA S.L.
7080015,D,5099,2025,1,258,-93.33,1,MACHALMA S.L.,B01682665,5273,Murcia,"Poeta Paco Aquino, 23",,MACHALMA S.L.
7000021,H,5099,2025,1,258,665.37,1,MACHALMA S.L.,B01682665,5273,Murcia,"Poeta Paco Aquino, 23",,MACHALMA S.L.
7000014,H,5099,2025,1,258,28572.61,1,MACHALMA S.L.,B01682665,5273,Murcia,"Poeta Paco Aquino, 23",,MACHALMA S.L.
6000024,D,5099,2025,1,258,4318.41,7,MACHALMA S.L.,B01682665,5273,Murcia,"Poeta Paco Aquino, 23",,MACHALMA S.L.
6000023,D,5099,2025,1,258,7115.33,7,MACHALMA S.L.,B01682665,5273,Murcia,"Poeta Paco Aquino, 23",,MACHALMA S.L.
6000014,D,5099,2025,1,258,20323.35,7,MACHALMA S.L.,B01682665,5273,Murcia,"Poeta Paco Aquino, 23",,MACHALMA S.L.
