CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7080030,D,5582,2025,1,292,-16.5,1,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
7080010,D,5582,2025,1,292,-13.69,1,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
7000026,H,5582,2025,1,292,245.88,1,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
6090103,D,5582,2025,1,292,2159.06,1,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
6000023,D,5582,2025,1,292,3744.54,8,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
6000011,D,5582,2025,1,292,2627.38,7,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
4850002,H,5582,2025,1,292,129.29,1,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
4850001,D,5582,2025,1,292,158111.36,1,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
4770000,H,5582,2025,1,292,15021.52,1,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
7000021,H,5582,2025,1,292,22.34,1,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
6590002,D,5582,2025,1,292,-6.3100000000000005,30,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
6000023,H,5582,2025,1,292,17.4,1,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
6090101,D,5582,2025,1,292,1367.73,9,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
6080014,D,5582,2025,1,292,-936.03,3,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
6000021,D,5582,2025,1,292,10.63,1,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
7080023,D,5582,2025,1,292,-0.91,1,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
7000020,H,5582,2025,1,292,2351.15,1,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
6214000,D,5582,2025,1,292,1787.0,1,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
6090001,D,5582,2025,1,292,886.53,4,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
7000014,H,5582,2025,1,292,13649.43,1,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
7000011,H,5582,2025,1,292,3260.04,2,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
6080015,D,5582,2025,1,292,-98.69999999999999,6,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
6020099,D,5582,2025,1,292,101.22,1,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
6000014,D,5582,2025,1,292,10310.12,8,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
6000010,D,5582,2025,1,292,6796.18,7,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
7080014,D,5582,2025,1,292,-11.77,1,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
7000023,H,5582,2025,1,292,5903.46,1,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
7000015,H,5582,2025,1,292,96680.93,1,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
6236024,D,5582,2025,1,292,570.46,1,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
6214002,D,5582,2025,1,292,-992.0,2,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
6000030,D,5582,2025,1,292,4738.620000000001,17,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
6000024,D,5582,2025,1,292,2884.94,8,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
6000022,H,5582,2025,1,292,83.82,1,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
6000022,D,5582,2025,1,292,1662.04,7,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
7080015,D,5582,2025,1,292,-72.31,1,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
7000030,H,5582,2025,1,292,4504.67,4,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
7000024,H,5582,2025,1,292,2801.8,1,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
7000022,H,5582,2025,1,292,3691.38,1,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
7000010,H,5582,2025,1,292,9964.65,1,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
6230004,D,5582,2025,1,292,570.12,1,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
6090100,D,5582,2025,1,292,107.24,2,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
6000026,D,5582,2025,1,292,158.48,4,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
6000020,D,5582,2025,1,292,1985.09,7,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
6000015,D,5582,2025,1,292,8944.31,8,PESCA RIONOVAL SL,B70108907,5990,Ribeira,Poligono de Xaras AC-550,,PESCA RIONOVAL
