CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
6810000,D,5559,2025,1,287,25338.880000000026,229,CHENGFENGPOLANG SL,B44579357,5964,Ripollet,"RAMBLA SANT JORDI, 7",,CHENGFENGPOLANG SL
6000010,D,5559,2025,1,287,14248.85,8,CHENGFENGPOLANG SL,B44579357,5964,Ripollet,"RAMBLA SANT JORDI, 7",,CHENGFENGPOLANG SL
4300001,D,5559,2025,1,287,695.6600000000001,6,CHENGFENGPOLANG SL,B44579357,5964,Ripollet,"RAMBLA SANT JORDI, 7",,CHENGFENGPOLANG SL
4000004,H,5559,2025,1,287,2052.8,1,CHENGFENGPOLANG SL,B44579357,5964,Ripollet,"RAMBLA SANT JORDI, 7",,CHENGFENGPOLANG SL
4000001,H,5559,2025,1,287,63403.12000000002,28,CHENGFENGPOLANG SL,B44579357,5964,Ripollet,"RAMBLA SANT JORDI, 7",,CHENGFENGPOLANG SL
2816000,H,5559,2025,1,287,15034.190000000008,96,CHENGFENGPOLANG SL,B44579357,5964,Ripollet,"RAMBLA SANT JORDI, 7",,CHENGFENGPOLANG SL
7000030,H,5559,2025,1,287,1916.6100000000001,5,CHENGFENGPOLANG SL,B44579357,5964,Ripollet,"RAMBLA SANT JORDI, 7",,CHENGFENGPOLANG SL
6236024,D,5559,2025,1,287,567.12,1,CHENGFENGPOLANG SL,B44579357,5964,Ripollet,"RAMBLA SANT JORDI, 7",,CHENGFENGPOLANG SL
6090101,D,5559,2025,1,287,979.6200000000001,6,CHENGFENGPOLANG SL,B44579357,5964,Ripollet,"RAMBLA SANT JORDI, 7",,CHENGFENGPOLANG SL
6000040,D,5559,2025,1,287,11.85,1,CHENGFENGPOLANG SL,B44579357,5964,Ripollet,"RAMBLA SANT JORDI, 7",,CHENGFENGPOLANG SL
6000023,D,5559,2025,1,287,3577.4999999999995,8,CHENGFENGPOLANG SL,B44579357,5964,Ripollet,"RAMBLA SANT JORDI, 7",,CHENGFENGPOLANG SL
5700200,H,5559,2025,1,287,96984.86000000003,31,CHENGFENGPOLANG SL,B44579357,5964,Ripollet,"RAMBLA SANT JORDI, 7",,CHENGFENGPOLANG SL
7000024,H,5559,2025,1,287,3398.11,1,CHENGFENGPOLANG SL,B44579357,5964,Ripollet,"RAMBLA SANT JORDI, 7",,CHENGFENGPOLANG SL
7000022,H,5559,2025,1,287,13503.63,1,CHENGFENGPOLANG SL,B44579357,5964,Ripollet,"RAMBLA SANT JORDI, 7",,CHENGFENGPOLANG SL
6590002,D,5559,2025,1,287,0.5000000000000006,31,CHENGFENGPOLANG SL,B44579357,5964,Ripollet,"RAMBLA SANT JORDI, 7",,CHENGFENGPOLANG SL
6090103,D,5559,2025,1,287,831.04,2,CHENGFENGPOLANG SL,B44579357,5964,Ripollet,"RAMBLA SANT JORDI, 7",,CHENGFENGPOLANG SL
7080022,D,5559,2025,1,287,-9.0,1,CHENGFENGPOLANG SL,B44579357,5964,Ripollet,"RAMBLA SANT JORDI, 7",,CHENGFENGPOLANG SL
7080014,D,5559,2025,1,287,-11.97,1,CHENGFENGPOLANG SL,B44579357,5964,Ripollet,"RAMBLA SANT JORDI, 7",,CHENGFENGPOLANG SL
7000020,H,5559,2025,1,287,2902.11,1,CHENGFENGPOLANG SL,B44579357,5964,Ripollet,"RAMBLA SANT JORDI, 7",,CHENGFENGPOLANG SL
7000015,H,5559,2025,1,287,18627.05,1,CHENGFENGPOLANG SL,B44579357,5964,Ripollet,"RAMBLA SANT JORDI, 7",,CHENGFENGPOLANG SL
6230004,D,5559,2025,1,287,597.95,1,CHENGFENGPOLANG SL,B44579357,5964,Ripollet,"RAMBLA SANT JORDI, 7",,CHENGFENGPOLANG SL
6090100,D,5559,2025,1,287,157.52,2,CHENGFENGPOLANG SL,B44579357,5964,Ripollet,"RAMBLA SANT JORDI, 7",,CHENGFENGPOLANG SL
6000022,D,5559,2025,1,287,3815.26,9,CHENGFENGPOLANG SL,B44579357,5964,Ripollet,"RAMBLA SANT JORDI, 7",,CHENGFENGPOLANG SL
4720000,D,5559,2025,1,287,7437.960000000003,42,CHENGFENGPOLANG SL,B44579357,5964,Ripollet,"RAMBLA SANT JORDI, 7",,CHENGFENGPOLANG SL
2817000,H,5559,2025,1,287,1927.3599999999994,72,CHENGFENGPOLANG SL,B44579357,5964,Ripollet,"RAMBLA SANT JORDI, 7",,CHENGFENGPOLANG SL
7080010,D,5559,2025,1,287,-8.1,1,CHENGFENGPOLANG SL,B44579357,5964,Ripollet,"RAMBLA SANT JORDI, 7",,CHENGFENGPOLANG SL
7000040,H,5559,2025,1,287,23.060000000000002,2,CHENGFENGPOLANG SL,B44579357,5964,Ripollet,"RAMBLA SANT JORDI, 7",,CHENGFENGPOLANG SL
7000023,H,5559,2025,1,287,4812.01,1,CHENGFENGPOLANG SL,B44579357,5964,Ripollet,"RAMBLA SANT JORDI, 7",,CHENGFENGPOLANG SL
7000021,H,5559,2025,1,287,482.1,1,CHENGFENGPOLANG SL,B44579357,5964,Ripollet,"RAMBLA SANT JORDI, 7",,CHENGFENGPOLANG SL
7000014,H,5559,2025,1,287,21668.7,1,CHENGFENGPOLANG SL,B44579357,5964,Ripollet,"RAMBLA SANT JORDI, 7",,CHENGFENGPOLANG SL
7000011,H,5559,2025,1,287,4914.36,1,CHENGFENGPOLANG SL,B44579357,5964,Ripollet,"RAMBLA SANT JORDI, 7",,CHENGFENGPOLANG SL
7000010,H,5559,2025,1,287,15198.07,1,CHENGFENGPOLANG SL,B44579357,5964,Ripollet,"RAMBLA SANT JORDI, 7",,CHENGFENGPOLANG SL
6090001,D,5559,2025,1,287,772.3100000000001,7,CHENGFENGPOLANG SL,B44579357,5964,Ripollet,"RAMBLA SANT JORDI, 7",,CHENGFENGPOLANG SL
6000021,D,5559,2025,1,287,494.68,7,CHENGFENGPOLANG SL,B44579357,5964,Ripollet,"RAMBLA SANT JORDI, 7",,CHENGFENGPOLANG SL
6000020,D,5559,2025,1,287,2553.9900000000002,8,CHENGFENGPOLANG SL,B44579357,5964,Ripollet,"RAMBLA SANT JORDI, 7",,CHENGFENGPOLANG SL
6000011,D,5559,2025,1,287,4324.17,8,CHENGFENGPOLANG SL,B44579357,5964,Ripollet,"RAMBLA SANT JORDI, 7",,CHENGFENGPOLANG SL
5790572,D,5559,2025,1,287,49550.210000000014,31,CHENGFENGPOLANG SL,B44579357,5964,Ripollet,"RAMBLA SANT JORDI, 7",,CHENGFENGPOLANG SL
5790570,D,5559,2025,1,287,43618.35,31,CHENGFENGPOLANG SL,B44579357,5964,Ripollet,"RAMBLA SANT JORDI, 7",,CHENGFENGPOLANG SL
