CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7000023,H,5742,2025,1,319,4022.46,1,UNIO INTEGRAL ALIMENTARIA SL,A63371082,6234,Badalona,"Rambla de Sant Joan, 105",,UNIO INTEGRAL ALIMENTARIA SL
7000022,H,5742,2025,1,319,7217.28,1,UNIO INTEGRAL ALIMENTARIA SL,A63371082,6234,Badalona,"Rambla de Sant Joan, 105",,UNIO INTEGRAL ALIMENTARIA SL
7000020,H,5742,2025,1,319,2742.75,1,UNIO INTEGRAL ALIMENTARIA SL,A63371082,6234,Badalona,"Rambla de Sant Joan, 105",,UNIO INTEGRAL ALIMENTARIA SL
7000014,H,5742,2025,1,319,14547.27,1,UNIO INTEGRAL ALIMENTARIA SL,A63371082,6234,Badalona,"Rambla de Sant Joan, 105",,UNIO INTEGRAL ALIMENTARIA SL
6236024,D,5742,2025,1,319,1679.6,1,UNIO INTEGRAL ALIMENTARIA SL,A63371082,6234,Badalona,"Rambla de Sant Joan, 105",,UNIO INTEGRAL ALIMENTARIA SL
6090101,D,5742,2025,1,319,1392.9499999999998,10,UNIO INTEGRAL ALIMENTARIA SL,A63371082,6234,Badalona,"Rambla de Sant Joan, 105",,UNIO INTEGRAL ALIMENTARIA SL
6000014,D,5742,2025,1,319,10286.999999999998,8,UNIO INTEGRAL ALIMENTARIA SL,A63371082,6234,Badalona,"Rambla de Sant Joan, 105",,UNIO INTEGRAL ALIMENTARIA SL
6000011,D,5742,2025,1,319,2933.66,8,UNIO INTEGRAL ALIMENTARIA SL,A63371082,6234,Badalona,"Rambla de Sant Joan, 105",,UNIO INTEGRAL ALIMENTARIA SL
4101103,D,5742,2025,1,319,90.69000000000001,11,UNIO INTEGRAL ALIMENTARIA SL,A63371082,6234,Badalona,"Rambla de Sant Joan, 105",,UNIO INTEGRAL ALIMENTARIA SL
4101102,D,5742,2025,1,319,19.84,5,UNIO INTEGRAL ALIMENTARIA SL,A63371082,6234,Badalona,"Rambla de Sant Joan, 105",,UNIO INTEGRAL ALIMENTARIA SL
4000001,H,5742,2025,1,319,43449.24,26,UNIO INTEGRAL ALIMENTARIA SL,A63371082,6234,Badalona,"Rambla de Sant Joan, 105",,UNIO INTEGRAL ALIMENTARIA SL
7080030,D,5742,2025,1,319,-8.49,1,UNIO INTEGRAL ALIMENTARIA SL,A63371082,6234,Badalona,"Rambla de Sant Joan, 105",,UNIO INTEGRAL ALIMENTARIA SL
7080011,D,5742,2025,1,319,-73.27,1,UNIO INTEGRAL ALIMENTARIA SL,A63371082,6234,Badalona,"Rambla de Sant Joan, 105",,UNIO INTEGRAL ALIMENTARIA SL
7000030,H,5742,2025,1,319,1309.03,6,UNIO INTEGRAL ALIMENTARIA SL,A63371082,6234,Badalona,"Rambla de Sant Joan, 105",,UNIO INTEGRAL ALIMENTARIA SL
7000015,H,5742,2025,1,319,13841.34,1,UNIO INTEGRAL ALIMENTARIA SL,A63371082,6234,Badalona,"Rambla de Sant Joan, 105",,UNIO INTEGRAL ALIMENTARIA SL
7000011,H,5742,2025,1,319,3637.68,1,UNIO INTEGRAL ALIMENTARIA SL,A63371082,6234,Badalona,"Rambla de Sant Joan, 105",,UNIO INTEGRAL ALIMENTARIA SL
4850001,D,5742,2025,1,319,64037.16,1,UNIO INTEGRAL ALIMENTARIA SL,A63371082,6234,Badalona,"Rambla de Sant Joan, 105",,UNIO INTEGRAL ALIMENTARIA SL
7000026,H,5742,2025,1,319,409.44,1,UNIO INTEGRAL ALIMENTARIA SL,A63371082,6234,Badalona,"Rambla de Sant Joan, 105",,UNIO INTEGRAL ALIMENTARIA SL
6090103,D,5742,2025,1,319,3441.54,2,UNIO INTEGRAL ALIMENTARIA SL,A63371082,6234,Badalona,"Rambla de Sant Joan, 105",,UNIO INTEGRAL ALIMENTARIA SL
6000015,D,5742,2025,1,319,12740.100000000002,8,UNIO INTEGRAL ALIMENTARIA SL,A63371082,6234,Badalona,"Rambla de Sant Joan, 105",,UNIO INTEGRAL ALIMENTARIA SL
4850002,H,5742,2025,1,319,640.15,1,UNIO INTEGRAL ALIMENTARIA SL,A63371082,6234,Badalona,"Rambla de Sant Joan, 105",,UNIO INTEGRAL ALIMENTARIA SL
7080021,D,5742,2025,1,319,-13.55,1,UNIO INTEGRAL ALIMENTARIA SL,A63371082,6234,Badalona,"Rambla de Sant Joan, 105",,UNIO INTEGRAL ALIMENTARIA SL
7000024,H,5742,2025,1,319,617.8,1,UNIO INTEGRAL ALIMENTARIA SL,A63371082,6234,Badalona,"Rambla de Sant Joan, 105",,UNIO INTEGRAL ALIMENTARIA SL
6214002,D,5742,2025,1,319,150.0,1,UNIO INTEGRAL ALIMENTARIA SL,A63371082,6234,Badalona,"Rambla de Sant Joan, 105",,UNIO INTEGRAL ALIMENTARIA SL
6214000,D,5742,2025,1,319,718.82,1,UNIO INTEGRAL ALIMENTARIA SL,A63371082,6234,Badalona,"Rambla de Sant Joan, 105",,UNIO INTEGRAL ALIMENTARIA SL
4850001,H,5742,2025,1,319,64037.159999999996,29,UNIO INTEGRAL ALIMENTARIA SL,A63371082,6234,Badalona,"Rambla de Sant Joan, 105",,UNIO INTEGRAL ALIMENTARIA SL
4300001,D,5742,2025,1,319,207.37,5,UNIO INTEGRAL ALIMENTARIA SL,A63371082,6234,Badalona,"Rambla de Sant Joan, 105",,UNIO INTEGRAL ALIMENTARIA SL
4101103,H,5742,2025,1,319,161.49,4,UNIO INTEGRAL ALIMENTARIA SL,A63371082,6234,Badalona,"Rambla de Sant Joan, 105",,UNIO INTEGRAL ALIMENTARIA SL
7080022,D,5742,2025,1,319,-62.46,1,UNIO INTEGRAL ALIMENTARIA SL,A63371082,6234,Badalona,"Rambla de Sant Joan, 105",,UNIO INTEGRAL ALIMENTARIA SL
7080015,D,5742,2025,1,319,-121.94,1,UNIO INTEGRAL ALIMENTARIA SL,A63371082,6234,Badalona,"Rambla de Sant Joan, 105",,UNIO INTEGRAL ALIMENTARIA SL
7000010,H,5742,2025,1,319,9110.26,1,UNIO INTEGRAL ALIMENTARIA SL,A63371082,6234,Badalona,"Rambla de Sant Joan, 105",,UNIO INTEGRAL ALIMENTARIA SL
6230004,D,5742,2025,1,319,589.37,1,UNIO INTEGRAL ALIMENTARIA SL,A63371082,6234,Badalona,"Rambla de Sant Joan, 105",,UNIO INTEGRAL ALIMENTARIA SL
5700200,D,5742,2025,1,319,63397.00999999999,29,UNIO INTEGRAL ALIMENTARIA SL,A63371082,6234,Badalona,"Rambla de Sant Joan, 105",,UNIO INTEGRAL ALIMENTARIA SL
