CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7000030,H,5090,2025,1,256,2882.6299999999997,6,CANO LOPEZ CEUTI SL,B73054504,5262,Murcia,"Ramon Jara, 31",,CANO LOPEZ CEUTI SL
7000024,H,5090,2025,1,256,12586.14,1,CANO LOPEZ CEUTI SL,B73054504,5262,Murcia,"Ramon Jara, 31",,CANO LOPEZ CEUTI SL
7000014,H,5090,2025,1,256,15535.48,1,CANO LOPEZ CEUTI SL,B73054504,5262,Murcia,"Ramon Jara, 31",,CANO LOPEZ CEUTI SL
6090101,D,5090,2025,1,256,808.2600000000001,6,CANO LOPEZ CEUTI SL,B73054504,5262,Murcia,"Ramon Jara, 31",,CANO LOPEZ CEUTI SL
6000022,D,5090,2025,1,256,5410.07,7,CANO LOPEZ CEUTI SL,B73054504,5262,Murcia,"Ramon Jara, 31",,CANO LOPEZ CEUTI SL
5700200,H,5090,2025,1,256,75969.51000000001,22,CANO LOPEZ CEUTI SL,B73054504,5262,Murcia,"Ramon Jara, 31",,CANO LOPEZ CEUTI SL
4430002,D,5090,2025,1,256,1053.3100000000002,18,CANO LOPEZ CEUTI SL,B73054504,5262,Murcia,"Ramon Jara, 31",,CANO LOPEZ CEUTI SL
4300001,D,5090,2025,1,256,812.77,5,CANO LOPEZ CEUTI SL,B73054504,5262,Murcia,"Ramon Jara, 31",,CANO LOPEZ CEUTI SL
7080014,D,5090,2025,1,256,-1.69,1,CANO LOPEZ CEUTI SL,B73054504,5262,Murcia,"Ramon Jara, 31",,CANO LOPEZ CEUTI SL
7000026,H,5090,2025,1,256,899.71,1,CANO LOPEZ CEUTI SL,B73054504,5262,Murcia,"Ramon Jara, 31",,CANO LOPEZ CEUTI SL
7000011,H,5090,2025,1,256,6898.89,1,CANO LOPEZ CEUTI SL,B73054504,5262,Murcia,"Ramon Jara, 31",,CANO LOPEZ CEUTI SL
7000010,H,5090,2025,1,256,6662.74,1,CANO LOPEZ CEUTI SL,B73054504,5262,Murcia,"Ramon Jara, 31",,CANO LOPEZ CEUTI SL
6090100,D,5090,2025,1,256,116.84,2,CANO LOPEZ CEUTI SL,B73054504,5262,Murcia,"Ramon Jara, 31",,CANO LOPEZ CEUTI SL
6080014,D,5090,2025,1,256,-312.4,2,CANO LOPEZ CEUTI SL,B73054504,5262,Murcia,"Ramon Jara, 31",,CANO LOPEZ CEUTI SL
6020099,D,5090,2025,1,256,322.33,1,CANO LOPEZ CEUTI SL,B73054504,5262,Murcia,"Ramon Jara, 31",,CANO LOPEZ CEUTI SL
6000040,D,5090,2025,1,256,122.86000000000001,7,CANO LOPEZ CEUTI SL,B73054504,5262,Murcia,"Ramon Jara, 31",,CANO LOPEZ CEUTI SL
6000023,D,5090,2025,1,256,3124.18,7,CANO LOPEZ CEUTI SL,B73054504,5262,Murcia,"Ramon Jara, 31",,CANO LOPEZ CEUTI SL
4850002,D,5090,2025,1,256,175.17000000000002,12,CANO LOPEZ CEUTI SL,B73054504,5262,Murcia,"Ramon Jara, 31",,CANO LOPEZ CEUTI SL
4000004,H,5090,2025,1,256,1873.91,1,CANO LOPEZ CEUTI SL,B73054504,5262,Murcia,"Ramon Jara, 31",,CANO LOPEZ CEUTI SL
7080023,D,5090,2025,1,256,-50.61,1,CANO LOPEZ CEUTI SL,B73054504,5262,Murcia,"Ramon Jara, 31",,CANO LOPEZ CEUTI SL
7080010,D,5090,2025,1,256,-48.52,1,CANO LOPEZ CEUTI SL,B73054504,5262,Murcia,"Ramon Jara, 31",,CANO LOPEZ CEUTI SL
