CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7080024,D,8313,2025,1,211,-21.86,1,"2014 SUPERMERCADOS CABCAR, SL",B93330587,007G,Malaga,Rincón de la Victoria,21,"2014 SUPERMERCADOS CABCAR, SL"
7000030,H,8313,2025,1,211,4504.22,6,"2014 SUPERMERCADOS CABCAR, SL",B93330587,007G,Malaga,Rincón de la Victoria,21,"2014 SUPERMERCADOS CABCAR, SL"
7000024,H,8313,2025,1,211,16293.3,1,"2014 SUPERMERCADOS CABCAR, SL",B93330587,007G,Malaga,Rincón de la Victoria,21,"2014 SUPERMERCADOS CABCAR, SL"
6000015,D,8313,2025,1,211,20553.04,7,"2014 SUPERMERCADOS CABCAR, SL",B93330587,007G,Malaga,Rincón de la Victoria,21,"2014 SUPERMERCADOS CABCAR, SL"
6000010,D,8313,2025,1,211,19151.19,7,"2014 SUPERMERCADOS CABCAR, SL",B93330587,007G,Malaga,Rincón de la Victoria,21,"2014 SUPERMERCADOS CABCAR, SL"
4770000,H,8313,2025,1,211,14312.89,1,"2014 SUPERMERCADOS CABCAR, SL",B93330587,007G,Malaga,Rincón de la Victoria,21,"2014 SUPERMERCADOS CABCAR, SL"
7080030,D,8313,2025,1,211,-2.15,1,"2014 SUPERMERCADOS CABCAR, SL",B93330587,007G,Malaga,Rincón de la Victoria,21,"2014 SUPERMERCADOS CABCAR, SL"
7080023,D,8313,2025,1,211,-24.76,1,"2014 SUPERMERCADOS CABCAR, SL",B93330587,007G,Malaga,Rincón de la Victoria,21,"2014 SUPERMERCADOS CABCAR, SL"
6080011,D,8313,2025,1,211,-1.15,1,"2014 SUPERMERCADOS CABCAR, SL",B93330587,007G,Malaga,Rincón de la Victoria,21,"2014 SUPERMERCADOS CABCAR, SL"
6000022,D,8313,2025,1,211,5870.150000000001,9,"2014 SUPERMERCADOS CABCAR, SL",B93330587,007G,Malaga,Rincón de la Victoria,21,"2014 SUPERMERCADOS CABCAR, SL"
7080022,D,8313,2025,1,211,-8.48,1,"2014 SUPERMERCADOS CABCAR, SL",B93330587,007G,Malaga,Rincón de la Victoria,21,"2014 SUPERMERCADOS CABCAR, SL"
7080015,D,8313,2025,1,211,-29.5,1,"2014 SUPERMERCADOS CABCAR, SL",B93330587,007G,Malaga,Rincón de la Victoria,21,"2014 SUPERMERCADOS CABCAR, SL"
7000020,H,8313,2025,1,211,4371.79,1,"2014 SUPERMERCADOS CABCAR, SL",B93330587,007G,Malaga,Rincón de la Victoria,21,"2014 SUPERMERCADOS CABCAR, SL"
7000010,H,8313,2025,1,211,24138.57,1,"2014 SUPERMERCADOS CABCAR, SL",B93330587,007G,Malaga,Rincón de la Victoria,21,"2014 SUPERMERCADOS CABCAR, SL"
6000014,D,8313,2025,1,211,19521.09,7,"2014 SUPERMERCADOS CABCAR, SL",B93330587,007G,Malaga,Rincón de la Victoria,21,"2014 SUPERMERCADOS CABCAR, SL"
6000026,D,8313,2025,1,211,128.81,5,"2014 SUPERMERCADOS CABCAR, SL",B93330587,007G,Malaga,Rincón de la Victoria,21,"2014 SUPERMERCADOS CABCAR, SL"
6000024,D,8313,2025,1,211,1102.21,6,"2014 SUPERMERCADOS CABCAR, SL",B93330587,007G,Malaga,Rincón de la Victoria,21,"2014 SUPERMERCADOS CABCAR, SL"
6000020,D,8313,2025,1,211,3464.59,7,"2014 SUPERMERCADOS CABCAR, SL",B93330587,007G,Malaga,Rincón de la Victoria,21,"2014 SUPERMERCADOS CABCAR, SL"
7080014,D,8313,2025,1,211,-48.39,1,"2014 SUPERMERCADOS CABCAR, SL",B93330587,007G,Malaga,Rincón de la Victoria,21,"2014 SUPERMERCADOS CABCAR, SL"
7000023,H,8313,2025,1,211,4574.94,1,"2014 SUPERMERCADOS CABCAR, SL",B93330587,007G,Malaga,Rincón de la Victoria,21,"2014 SUPERMERCADOS CABCAR, SL"
7000015,H,8313,2025,1,211,23179.56,1,"2014 SUPERMERCADOS CABCAR, SL",B93330587,007G,Malaga,Rincón de la Victoria,21,"2014 SUPERMERCADOS CABCAR, SL"
6080030,D,8313,2025,1,211,-91.9,4,"2014 SUPERMERCADOS CABCAR, SL",B93330587,007G,Malaga,Rincón de la Victoria,21,"2014 SUPERMERCADOS CABCAR, SL"
6080015,D,8313,2025,1,211,-131.93,5,"2014 SUPERMERCADOS CABCAR, SL",B93330587,007G,Malaga,Rincón de la Victoria,21,"2014 SUPERMERCADOS CABCAR, SL"
6000030,D,8313,2025,1,211,3543.370000000001,25,"2014 SUPERMERCADOS CABCAR, SL",B93330587,007G,Malaga,Rincón de la Victoria,21,"2014 SUPERMERCADOS CABCAR, SL"
