CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7080024,D,4717,2025,1,229,-11.81,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,4802,Gijón,Shultz 2,,"EXPRESS CREAN Y RUBIO, SL"
7000021,H,4717,2025,1,229,533.95,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,4802,Gijón,Shultz 2,,"EXPRESS CREAN Y RUBIO, SL"
7000011,H,4717,2025,1,229,6083.91,2,"EXPRESS CREAN Y RUBIO, SL",B52560315,4802,Gijón,Shultz 2,,"EXPRESS CREAN Y RUBIO, SL"
6080015,D,4717,2025,1,229,-163.92000000000002,6,"EXPRESS CREAN Y RUBIO, SL",B52560315,4802,Gijón,Shultz 2,,"EXPRESS CREAN Y RUBIO, SL"
6020099,D,4717,2025,1,229,357.45,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,4802,Gijón,Shultz 2,,"EXPRESS CREAN Y RUBIO, SL"
6000030,D,4717,2025,1,229,1969.6100000000004,15,"EXPRESS CREAN Y RUBIO, SL",B52560315,4802,Gijón,Shultz 2,,"EXPRESS CREAN Y RUBIO, SL"
6000014,D,4717,2025,1,229,15496.75,7,"EXPRESS CREAN Y RUBIO, SL",B52560315,4802,Gijón,Shultz 2,,"EXPRESS CREAN Y RUBIO, SL"
6000011,D,4717,2025,1,229,4158.2,7,"EXPRESS CREAN Y RUBIO, SL",B52560315,4802,Gijón,Shultz 2,,"EXPRESS CREAN Y RUBIO, SL"
6000010,D,4717,2025,1,229,17870.58,7,"EXPRESS CREAN Y RUBIO, SL",B52560315,4802,Gijón,Shultz 2,,"EXPRESS CREAN Y RUBIO, SL"
7000010,H,4717,2025,1,229,19310.55,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,4802,Gijón,Shultz 2,,"EXPRESS CREAN Y RUBIO, SL"
6090103,D,4717,2025,1,229,3376.55,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,4802,Gijón,Shultz 2,,"EXPRESS CREAN Y RUBIO, SL"
6090001,D,4717,2025,1,229,1104.7299999999998,5,"EXPRESS CREAN Y RUBIO, SL",B52560315,4802,Gijón,Shultz 2,,"EXPRESS CREAN Y RUBIO, SL"
6000022,D,4717,2025,1,229,9836.28,9,"EXPRESS CREAN Y RUBIO, SL",B52560315,4802,Gijón,Shultz 2,,"EXPRESS CREAN Y RUBIO, SL"
4850002,H,4717,2025,1,229,268.85,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,4802,Gijón,Shultz 2,,"EXPRESS CREAN Y RUBIO, SL"
7590010,H,4717,2025,1,229,452.65,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,4802,Gijón,Shultz 2,,"EXPRESS CREAN Y RUBIO, SL"
7080040,D,4717,2025,1,229,-16.53,1,"EXPRESS CREAN Y RUBIO, SL",B52560315,4802,Gijón,Shultz 2,,"EXPRESS CREAN Y RUBIO, SL"
7000060,H,4717,2025,1,229,18.95,2,"EXPRESS CREAN Y RUBIO, SL",B52560315,4802,Gijón,Shultz 2,,"EXPRESS CREAN Y RUBIO, SL"
