CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7080022,D,4317,2025,1,204,-3.03,1,"DREAM 786, SL",B66576067,4238,Barcelona,Torrent de L'Olla,14,"DREAM 786, SL"
7000011,H,4317,2025,1,204,4252.44,2,"DREAM 786, SL",B66576067,4238,Barcelona,Torrent de L'Olla,14,"DREAM 786, SL"
6000026,D,4317,2025,1,204,183.45000000000002,8,"DREAM 786, SL",B66576067,4238,Barcelona,Torrent de L'Olla,14,"DREAM 786, SL"
6000011,D,4317,2025,1,204,4185.99,10,"DREAM 786, SL",B66576067,4238,Barcelona,Torrent de L'Olla,14,"DREAM 786, SL"
7000026,H,4317,2025,1,204,253.45,1,"DREAM 786, SL",B66576067,4238,Barcelona,Torrent de L'Olla,14,"DREAM 786, SL"
7000015,H,4317,2025,1,204,19433.09,1,"DREAM 786, SL",B66576067,4238,Barcelona,Torrent de L'Olla,14,"DREAM 786, SL"
6230004,D,4317,2025,1,204,570.75,1,"DREAM 786, SL",B66576067,4238,Barcelona,Torrent de L'Olla,14,"DREAM 786, SL"
6000021,D,4317,2025,1,204,236.60999999999999,5,"DREAM 786, SL",B66576067,4238,Barcelona,Torrent de L'Olla,14,"DREAM 786, SL"
6000010,D,4317,2025,1,204,6413.430000000001,10,"DREAM 786, SL",B66576067,4238,Barcelona,Torrent de L'Olla,14,"DREAM 786, SL"
4850002,H,4317,2025,1,204,26.6,1,"DREAM 786, SL",B66576067,4238,Barcelona,Torrent de L'Olla,14,"DREAM 786, SL"
7000023,H,4317,2025,1,204,1098.16,1,"DREAM 786, SL",B66576067,4238,Barcelona,Torrent de L'Olla,14,"DREAM 786, SL"
7000014,H,4317,2025,1,204,14410.18,1,"DREAM 786, SL",B66576067,4238,Barcelona,Torrent de L'Olla,14,"DREAM 786, SL"
6000030,D,4317,2025,1,204,847.4100000000001,17,"DREAM 786, SL",B66576067,4238,Barcelona,Torrent de L'Olla,14,"DREAM 786, SL"
7000010,H,4317,2025,1,204,13408.95,1,"DREAM 786, SL",B66576067,4238,Barcelona,Torrent de L'Olla,14,"DREAM 786, SL"
6590002,D,4317,2025,1,204,-49.17,30,"DREAM 786, SL",B66576067,4238,Barcelona,Torrent de L'Olla,14,"DREAM 786, SL"
6214000,D,4317,2025,1,204,768.03,1,"DREAM 786, SL",B66576067,4238,Barcelona,Torrent de L'Olla,14,"DREAM 786, SL"
6090100,D,4317,2025,1,204,119.69,2,"DREAM 786, SL",B66576067,4238,Barcelona,Torrent de L'Olla,14,"DREAM 786, SL"
6020099,D,4317,2025,1,204,92.72,1,"DREAM 786, SL",B66576067,4238,Barcelona,Torrent de L'Olla,14,"DREAM 786, SL"
6000023,H,4317,2025,1,204,50.81,1,"DREAM 786, SL",B66576067,4238,Barcelona,Torrent de L'Olla,14,"DREAM 786, SL"
4770000,H,4317,2025,1,204,6457.07,1,"DREAM 786, SL",B66576067,4238,Barcelona,Torrent de L'Olla,14,"DREAM 786, SL"
7590010,H,4317,2025,1,204,19.05,1,"DREAM 786, SL",B66576067,4238,Barcelona,Torrent de L'Olla,14,"DREAM 786, SL"
7080010,D,4317,2025,1,204,-21.32,1,"DREAM 786, SL",B66576067,4238,Barcelona,Torrent de L'Olla,14,"DREAM 786, SL"
7000024,H,4317,2025,1,204,1533.27,1,"DREAM 786, SL",B66576067,4238,Barcelona,Torrent de L'Olla,14,"DREAM 786, SL"
7000022,H,4317,2025,1,204,4088.58,1,"DREAM 786, SL",B66576067,4238,Barcelona,Torrent de L'Olla,14,"DREAM 786, SL"
7000020,H,4317,2025,1,204,1853.69,1,"DREAM 786, SL",B66576067,4238,Barcelona,Torrent de L'Olla,14,"DREAM 786, SL"
6620000,D,4317,2025,1,204,127.48,1,"DREAM 786, SL",B66576067,4238,Barcelona,Torrent de L'Olla,14,"DREAM 786, SL"
