CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7000030,H,5717,2025,1,315,2634.55,6,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
6236024,D,5717,2025,1,315,1630.26,1,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
6000026,D,5717,2025,1,315,203.67000000000002,5,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
5700200,D,5717,2025,1,315,95637.88,26,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
4850002,D,5717,2025,1,315,97.70000000000002,15,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
4850001,H,5717,2025,1,315,95735.58000000003,26,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
4850001,D,5717,2025,1,315,95735.58,1,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
4770000,H,5717,2025,1,315,8232.86,3,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
4430001,D,5717,2025,1,315,27.19,2,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
7080022,D,5717,2025,1,315,-5.37,1,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
7000040,H,5717,2025,1,315,173.55,1,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
7000026,H,5717,2025,1,315,241.74,1,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
7000014,H,5717,2025,1,315,17240.63,1,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
6590002,D,5717,2025,1,315,3.26,24,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
6420000,D,5717,2025,1,315,2608.76,1,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
6090001,D,5717,2025,1,315,738.1800000000001,7,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
6080022,D,5717,2025,1,315,-77.55,3,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
5790572,D,5717,2025,1,315,40807.88999999999,26,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
4000001,H,5717,2025,1,315,40862.67999999999,31,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
7080030,D,5717,2025,1,315,-0.12,1,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
7000023,H,5717,2025,1,315,3710.92,1,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
7000021,H,5717,2025,1,315,1958.43,1,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
6000024,D,5717,2025,1,315,1799.52,7,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
6000023,H,5717,2025,1,315,97.61,1,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
6000010,D,5717,2025,1,315,6906.43,7,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
5790570,D,5717,2025,1,315,51195.600000000006,26,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
5700200,H,5717,2025,1,315,95637.88,26,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
4720000,D,5717,2025,1,315,5644.35,50,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
4300002,D,5717,2025,1,315,1694.0,1,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
7000024,H,5717,2025,1,315,12654.16,1,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
7000015,H,5717,2025,1,315,16594.7,1,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
6400000,D,5717,2025,1,315,13296.7,1,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
6080020,D,5717,2025,1,315,-1.25,1,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
6000022,D,5717,2025,1,315,4621.04,7,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
6000011,D,5717,2025,1,315,3717.17,7,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
4760000,H,5717,2025,1,315,3133.46,2,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
4751000,H,5717,2025,1,315,1283.32,1,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
4300001,D,5717,2025,1,315,1190.17,6,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
4101103,D,5717,2025,1,315,-2074.88,18,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
4101102,D,5717,2025,1,315,89.67999999999999,9,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
7080040,D,5717,2025,1,315,-16.53,1,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
6214000,D,5717,2025,1,315,1096.44,1,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
6090100,D,5717,2025,1,315,116.42999999999999,2,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
6000030,D,5717,2025,1,315,1360.8700000000006,23,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
6000021,D,5717,2025,1,315,1069.87,7,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
6000014,D,5717,2025,1,315,10208.369999999999,7,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
4101100,D,5717,2025,1,315,2545.84,22,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
2816000,H,5717,2025,1,315,1196.41,12,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
7550000,H,5717,2025,1,315,175.22,1,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
7080015,D,5717,2025,1,315,-22.51,1,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
7080014,D,5717,2025,1,315,-24.52,1,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
6810000,D,5717,2025,1,315,1196.41,12,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
6214002,D,5717,2025,1,315,150.0,1,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
6214001,D,5717,2025,1,315,4214.8,1,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
6090101,D,5717,2025,1,315,2594.6999999999994,10,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
6080015,D,5717,2025,1,315,-221.39000000000001,7,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
4850002,H,5717,2025,1,315,97.7,1,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
7080011,D,5717,2025,1,315,-5.53,1,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
7080010,D,5717,2025,1,315,-13.13,1,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
7000022,H,5717,2025,1,315,5938.65,1,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
7000011,H,5717,2025,1,315,5565.83,1,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
7000010,H,5717,2025,1,315,9876.73,1,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
6080030,D,5717,2025,1,315,-775.5100000000001,3,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
6020099,D,5717,2025,1,315,97.61,1,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
6000040,D,5717,2025,1,315,151.43,6,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
6000023,D,5717,2025,1,315,1265.53,7,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
6000015,D,5717,2025,1,315,14259.45,8,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
4650000,H,5717,2025,1,315,11488.68,1,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
4000004,H,5717,2025,1,315,7139.74,2,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
4000002,H,5717,2025,1,315,4244.589999999998,18,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
7590010,H,5717,2025,1,315,1475.25,2,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
7000060,H,5717,2025,1,315,7.43,1,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
7000020,H,5717,2025,1,315,11205.21,1,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
6402000,D,5717,2025,1,315,175.22,1,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
6230004,D,5717,2025,1,315,589.37,1,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
6090103,D,5717,2025,1,315,1842.1599999999999,2,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
6080023,D,5717,2025,1,315,-24.67,1,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
6000020,D,5717,2025,1,315,2115.9,7,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
4430002,D,5717,2025,1,315,677.68,19,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
4101103,H,5717,2025,1,315,1099.12,5,SUPERMERCADOS OSSA Y CUERVO SL,B16399941,6201,Leon,"c/ Manuel Guillon, 23",,SUPERMERCADOS OSSA Y CUERVO SL
