CUEAPU,D-HAPU,DEPAPU,Año,Mes,Franquiciado,total_IMEAPU,cantidad_registros,SOCIEDAD,CIF,ATICA,Provincia,TIENDA,Nº Tiendas,sociedad_2
7000021,H,5437,2025,1,268,556.4,1,NEGOCIACIONES BARCELONA SL,B67709873,5793,Barcelona,"Av. Garraf,63",,NEGOCIACIONES BARCELONA SL
7080030,D,5634,2025,1,268,-6.61,1,NEGOCIACIONES BARCELONA SL,B67709873,6051,Barcelona,"C/ Rubio i Ors, 21-23",,NEGOCIACIONES BARCELONA SL
6817000,D,5437,2025,1,268,200.07000000000005,22,NEGOCIACIONES BARCELONA SL,B67709873,5793,Barcelona,"Av. Garraf,63",,NEGOCIACIONES BARCELONA SL
7080014,D,5634,2025,1,268,-41.35,1,NEGOCIACIONES BARCELONA SL,B67709873,6051,Barcelona,"C/ Rubio i Ors, 21-23",,NEGOCIACIONES BARCELONA SL
6814000,D,5437,2025,1,268,281.54,11,NEGOCIACIONES BARCELONA SL,B67709873,5793,Barcelona,"Av. Garraf,63",,NEGOCIACIONES BARCELONA SL
7080011,D,5634,2025,1,268,-13.34,1,NEGOCIACIONES BARCELONA SL,B67709873,6051,Barcelona,"C/ Rubio i Ors, 21-23",,NEGOCIACIONES BARCELONA SL
6090101,D,5437,2025,1,268,842.5500000000002,7,NEGOCIACIONES BARCELONA SL,B67709873,5793,Barcelona,"Av. Garraf,63",,NEGOCIACIONES BARCELONA SL
7000021,H,5634,2025,1,268,990.6,1,NEGOCIACIONES BARCELONA SL,B67709873,6051,Barcelona,"C/ Rubio i Ors, 21-23",,NEGOCIACIONES BARCELONA SL
6000030,D,5437,2025,1,268,1275.3200000000002,19,NEGOCIACIONES BARCELONA SL,B67709873,5793,Barcelona,"Av. Garraf,63",,NEGOCIACIONES BARCELONA SL
7000011,H,5634,2025,1,268,8060.49,1,NEGOCIACIONES BARCELONA SL,B67709873,6051,Barcelona,"C/ Rubio i Ors, 21-23",,NEGOCIACIONES BARCELONA SL
6000026,D,5437,2025,1,268,635.28,8,NEGOCIACIONES BARCELONA SL,B67709873,5793,Barcelona,"Av. Garraf,63",,NEGOCIACIONES BARCELONA SL
6841400,D,5634,2025,1,268,297.69,11,NEGOCIACIONES BARCELONA SL,B67709873,6051,Barcelona,"C/ Rubio i Ors, 21-23",,NEGOCIACIONES BARCELONA SL
4850002,H,5437,2025,1,268,83.74,1,NEGOCIACIONES BARCELONA SL,B67709873,5793,Barcelona,"Av. Garraf,63",,NEGOCIACIONES BARCELONA SL
6816000,D,5634,2025,1,268,2484.0299999999993,72,NEGOCIACIONES BARCELONA SL,B67709873,6051,Barcelona,"C/ Rubio i Ors, 21-23",,NEGOCIACIONES BARCELONA SL
7000040,H,5437,2025,1,268,213.15,1,NEGOCIACIONES BARCELONA SL,B67709873,5793,Barcelona,"Av. Garraf,63",,NEGOCIACIONES BARCELONA SL
6815000,D,5634,2025,1,268,882.67,24,NEGOCIACIONES BARCELONA SL,B67709873,6051,Barcelona,"C/ Rubio i Ors, 21-23",,NEGOCIACIONES BARCELONA SL
7000024,H,5437,2025,1,268,4624.35,1,NEGOCIACIONES BARCELONA SL,B67709873,5793,Barcelona,"Av. Garraf,63",,NEGOCIACIONES BARCELONA SL
6811000,D,5634,2025,1,268,651.9600000000003,36,NEGOCIACIONES BARCELONA SL,B67709873,6051,Barcelona,"C/ Rubio i Ors, 21-23",,NEGOCIACIONES BARCELONA SL
7000023,H,5437,2025,1,268,3571.39,1,NEGOCIACIONES BARCELONA SL,B67709873,5793,Barcelona,"Av. Garraf,63",,NEGOCIACIONES BARCELONA SL
6230004,D,5634,2025,1,268,597.95,1,NEGOCIACIONES BARCELONA SL,B67709873,6051,Barcelona,"C/ Rubio i Ors, 21-23",,NEGOCIACIONES BARCELONA SL
7000010,H,5437,2025,1,268,18491.97,1,NEGOCIACIONES BARCELONA SL,B67709873,5793,Barcelona,"Av. Garraf,63",,NEGOCIACIONES BARCELONA SL
6214002,D,5634,2025,1,268,150.0,1,NEGOCIACIONES BARCELONA SL,B67709873,6051,Barcelona,"C/ Rubio i Ors, 21-23",,NEGOCIACIONES BARCELONA SL
6800000,D,5437,2025,1,268,3431.4900000000007,11,NEGOCIACIONES BARCELONA SL,B67709873,5793,Barcelona,"Av. Garraf,63",,NEGOCIACIONES BARCELONA SL
6000020,D,5634,2025,1,268,2631.7899999999995,8,NEGOCIACIONES BARCELONA SL,B67709873,6051,Barcelona,"C/ Rubio i Ors, 21-23",,NEGOCIACIONES BARCELONA SL
6214000,D,5437,2025,1,268,1108.5,1,NEGOCIACIONES BARCELONA SL,B67709873,5793,Barcelona,"Av. Garraf,63",,NEGOCIACIONES BARCELONA SL
7080015,D,5634,2025,1,268,-36.55,1,NEGOCIACIONES BARCELONA SL,B67709873,6051,Barcelona,"C/ Rubio i Ors, 21-23",,NEGOCIACIONES BARCELONA SL
6090001,D,5437,2025,1,268,825.6299999999999,5,NEGOCIACIONES BARCELONA SL,B67709873,5793,Barcelona,"Av. Garraf,63",,NEGOCIACIONES BARCELONA SL
7000010,H,5634,2025,1,268,16170.98,1,NEGOCIACIONES BARCELONA SL,B67709873,6051,Barcelona,"C/ Rubio i Ors, 21-23",,NEGOCIACIONES BARCELONA SL
7590010,H,5437,2025,1,268,154.3,1,NEGOCIACIONES BARCELONA SL,B67709873,5793,Barcelona,"Av. Garraf,63",,NEGOCIACIONES BARCELONA SL
6090101,D,5634,2025,1,268,1090.71,10,NEGOCIACIONES BARCELONA SL,B67709873,6051,Barcelona,"C/ Rubio i Ors, 21-23",,NEGOCIACIONES BARCELONA SL
7080015,D,5437,2025,1,268,-11.97,1,NEGOCIACIONES BARCELONA SL,B67709873,5793,Barcelona,"Av. Garraf,63",,NEGOCIACIONES BARCELONA SL
6090001,D,5634,2025,1,268,978.2800000000001,5,NEGOCIACIONES BARCELONA SL,B67709873,6051,Barcelona,"C/ Rubio i Ors, 21-23",,NEGOCIACIONES BARCELONA SL
6816000,D,5437,2025,1,268,9096.509999999995,44,NEGOCIACIONES BARCELONA SL,B67709873,5793,Barcelona,"Av. Garraf,63",,NEGOCIACIONES BARCELONA SL
6000021,D,5634,2025,1,268,655.11,7,NEGOCIACIONES BARCELONA SL,B67709873,6051,Barcelona,"C/ Rubio i Ors, 21-23",,NEGOCIACIONES BARCELONA SL
6000023,H,5437,2025,1,268,101.61,1,NEGOCIACIONES BARCELONA SL,B67709873,5793,Barcelona,"Av. Garraf,63",,NEGOCIACIONES BARCELONA SL
6000015,D,5634,2025,1,268,21279.309999999998,8,NEGOCIACIONES BARCELONA SL,B67709873,6051,Barcelona,"C/ Rubio i Ors, 21-23",,NEGOCIACIONES BARCELONA SL
6000021,D,5437,2025,1,268,542.38,6,NEGOCIACIONES BARCELONA SL,B67709873,5793,Barcelona,"Av. Garraf,63",,NEGOCIACIONES BARCELONA SL
4770000,H,5634,2025,1,268,11142.14,1,NEGOCIACIONES BARCELONA SL,B67709873,6051,Barcelona,"C/ Rubio i Ors, 21-23",,NEGOCIACIONES BARCELONA SL
4850001,D,5437,2025,1,268,98536.59,1,NEGOCIACIONES BARCELONA SL,B67709873,5793,Barcelona,"Av. Garraf,63",,NEGOCIACIONES BARCELONA SL
7000024,H,5634,2025,1,268,5501.7,1,NEGOCIACIONES BARCELONA SL,B67709873,6051,Barcelona,"C/ Rubio i Ors, 21-23",,NEGOCIACIONES BARCELONA SL
7080030,D,5437,2025,1,268,-2.72,1,NEGOCIACIONES BARCELONA SL,B67709873,5793,Barcelona,"Av. Garraf,63",,NEGOCIACIONES BARCELONA SL
7000023,H,5634,2025,1,268,3488.92,1,NEGOCIACIONES BARCELONA SL,B67709873,6051,Barcelona,"C/ Rubio i Ors, 21-23",,NEGOCIACIONES BARCELONA SL
7080010,D,5437,2025,1,268,-7.55,1,NEGOCIACIONES BARCELONA SL,B67709873,5793,Barcelona,"Av. Garraf,63",,NEGOCIACIONES BARCELONA SL
7000020,H,5634,2025,1,268,4162.7,1,NEGOCIACIONES BARCELONA SL,B67709873,6051,Barcelona,"C/ Rubio i Ors, 21-23",,NEGOCIACIONES BARCELONA SL
7000020,H,5437,2025,1,268,3382.15,1,NEGOCIACIONES BARCELONA SL,B67709873,5793,Barcelona,"Av. Garraf,63",,NEGOCIACIONES BARCELONA SL
6814000,D,5634,2025,1,268,908.5299999999997,36,NEGOCIACIONES BARCELONA SL,B67709873,6051,Barcelona,"C/ Rubio i Ors, 21-23",,NEGOCIACIONES BARCELONA SL
7000014,H,5437,2025,1,268,19431.12,1,NEGOCIACIONES BARCELONA SL,B67709873,5793,Barcelona,"Av. Garraf,63",,NEGOCIACIONES BARCELONA SL
6080024,D,5634,2025,1,268,-18.09,1,NEGOCIACIONES BARCELONA SL,B67709873,6051,Barcelona,"C/ Rubio i Ors, 21-23",,NEGOCIACIONES BARCELONA SL
6236024,D,5437,2025,1,268,1018.31,1,NEGOCIACIONES BARCELONA SL,B67709873,5793,Barcelona,"Av. Garraf,63",,NEGOCIACIONES BARCELONA SL
6080022,D,5634,2025,1,268,-828.75,5,NEGOCIACIONES BARCELONA SL,B67709873,6051,Barcelona,"C/ Rubio i Ors, 21-23",,NEGOCIACIONES BARCELONA SL
6000020,D,5437,2025,1,268,2796.3499999999995,8,NEGOCIACIONES BARCELONA SL,B67709873,5793,Barcelona,"Av. Garraf,63",,NEGOCIACIONES BARCELONA SL
6000026,D,5634,2025,1,268,483.94,8,NEGOCIACIONES BARCELONA SL,B67709873,6051,Barcelona,"C/ Rubio i Ors, 21-23",,NEGOCIACIONES BARCELONA SL
6000015,D,5437,2025,1,268,17749.54,8,NEGOCIACIONES BARCELONA SL,B67709873,5793,Barcelona,"Av. Garraf,63",,NEGOCIACIONES BARCELONA SL
