FECAPU,CUEAPU,CONAPU,IMPAPU,IMEAPU,D-HAPU,DEPAPU,Mes,Año,Franquiciado
2025-01-31,4770000,"EXPRESS PUENTE ARCE, S.L. VENTA MES 1",4822.8,4822.8,H,4284,1,2025,232
2025-01-31,4850001,"EXPRESS PUENTE ARCE, S.L. VENTA MES 1",51343.16,51343.16,D,4284,1,2025,232
2025-01-31,4850002,"EXPRESS PUENTE ARCE, S.L. VENTA MES 1",53.63,53.63,H,4284,1,2025,232
2025-01-05,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250000381",568.23,568.23,D,4284,1,2025,232
2025-01-15,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250002227",1177.65,1177.65,D,4284,1,2025,232
2025-01-15,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250002228",154.87,154.87,D,4284,1,2025,232
2025-01-25,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005173",183.19,183.19,D,4284,1,2025,232
2025-01-25,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005174",509.49,509.49,D,4284,1,2025,232
2025-01-25,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005175",1504.48,1504.48,D,4284,1,2025,232
2025-01-31,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008537",1275.75,1275.75,D,4284,1,2025,232
2025-01-05,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250000381",168.62,168.62,D,4284,1,2025,232
2025-01-15,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250002227",301.07,301.07,D,4284,1,2025,232
2025-01-15,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250002228",40.72,40.72,D,4284,1,2025,232
2025-01-25,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005173",139.05,139.05,D,4284,1,2025,232
2025-01-25,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005174",401.43,401.43,D,4284,1,2025,232
2025-01-25,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005175",507.71,507.71,D,4284,1,2025,232
2025-01-31,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008537",499.1,499.1,D,4284,1,2025,232
2025-01-05,6000014,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250000381",866.67,866.67,D,4284,1,2025,232
2025-01-15,6000014,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250002227",1435.78,1435.78,D,4284,1,2025,232
2025-01-15,6000014,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250002228",282.8,282.8,D,4284,1,2025,232
2025-01-25,6000014,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005173",232.33,232.33,D,4284,1,2025,232
2025-01-25,6000014,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005174",698.09,698.09,D,4284,1,2025,232
2025-01-25,6000014,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005175",1059.07,1059.07,D,4284,1,2025,232
2025-01-31,6000014,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008537",1517.21,1517.21,D,4284,1,2025,232
2025-01-05,6000015,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250000381",904.59,904.59,D,4284,1,2025,232
2025-01-15,6000015,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250002227",1100.4,1100.4,D,4284,1,2025,232
2025-01-15,6000015,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250002228",227.45,227.45,D,4284,1,2025,232
2025-01-25,6000015,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005173",700.62,700.62,D,4284,1,2025,232
2025-01-25,6000015,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005174",1027.92,1027.92,D,4284,1,2025,232
2025-01-25,6000015,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005175",1624.35,1624.35,D,4284,1,2025,232
2025-01-31,6000015,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008537",1223.03,1223.03,D,4284,1,2025,232
2025-01-05,6000020,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250000381",99.42,99.42,D,4284,1,2025,232
2025-01-15,6000020,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250002227",193.92,193.92,D,4284,1,2025,232
2025-01-15,6000020,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250002228",69.81,69.81,D,4284,1,2025,232
2025-01-25,6000020,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005173",166.19,166.19,D,4284,1,2025,232
2025-01-25,6000020,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005174",91.89,91.89,D,4284,1,2025,232
2025-01-25,6000020,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005175",115.81,115.81,D,4284,1,2025,232
2025-01-31,6000020,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008537",414.68,414.68,D,4284,1,2025,232
2025-01-05,6000021,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250000381",12.37,12.37,D,4284,1,2025,232
2025-01-15,6000021,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250002227",226.1,226.1,D,4284,1,2025,232
2025-01-25,6000021,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005173",12.37,12.37,D,4284,1,2025,232
2025-01-25,6000021,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005174",112.58,112.58,D,4284,1,2025,232
2025-01-31,6000021,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008537",44.0,44.0,D,4284,1,2025,232
2025-01-05,6000022,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250000381",364.3,364.3,D,4284,1,2025,232
2025-01-05,6000022,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250000192",170.39,170.39,D,4284,1,2025,232
2025-01-15,6000022,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250002227",351.62,351.62,D,4284,1,2025,232
2025-01-15,6000022,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250002228",141.12,141.12,D,4284,1,2025,232
2025-01-15,6000022,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250001025",406.01,406.01,D,4284,1,2025,232
2025-01-15,6000022,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250001026",407.08,407.08,D,4284,1,2025,232
2025-01-25,6000022,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005173",75.34,75.34,D,4284,1,2025,232
2025-01-25,6000022,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005174",404.34,404.34,D,4284,1,2025,232
2025-01-25,6000022,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005175",136.78,136.78,D,4284,1,2025,232
2025-01-25,6000022,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250002422",151.95,151.95,D,4284,1,2025,232
2025-01-25,6000022,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250002423",283.58,283.58,D,4284,1,2025,232
2025-01-25,6000022,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250002424",322.31,322.31,D,4284,1,2025,232
2025-01-31,6000022,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008536",131.65,131.65,D,4284,1,2025,232
2025-01-31,6000022,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008537",546.07,546.07,D,4284,1,2025,232
2025-01-31,6000022,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250003928",478.29,478.29,D,4284,1,2025,232
2025-01-05,6000023,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250000381",83.74,83.74,D,4284,1,2025,232
2025-01-15,6000023,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250002227",158.78,158.78,D,4284,1,2025,232
2025-01-15,6000023,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250002228",36.59,36.59,D,4284,1,2025,232
